,"Day : 0 - 1","Day : 1 - 2","Day : 2 - 3"
"Wholesales (B2B)","875,050",0,"2,138,270"
"Sales E Commerce","46,420","12,516","43,021"
Services,0,0,0
"Research and Development",0,0,0
COGS,"701,668","67,157","1,695,182"
"Trading Profit","289,813","16,220","554,497"
"Operating Expense View","63,152","79,979","102,493"
"Other Income (Loss)",0,0,0
"Net Profit","226,661","(63,759)","452,004"

,"Day : 42 - 43","Day : 43 - 44","Day : 44 - 45"
Revenue,"234,361","759,636","89,355"
"Retail View","71,234","68,363","65,019"
"Wholesales (B2B)",0,"609,000",0
"Sales E Commerce","39,327","38,673","24,336"
Services,"123,800","43,600",0
"Research and Development",0,0,0
COGS,"82,123","515,208","48,583"
"Trading Profit","152,238","244,428","40,772"
"Operating Expense View","92,252","56,607","75,637"
"Other Income (Loss)",0,0,0
"Net Profit","59,986","187,821","(34,865)"

,"Day : 45 - 46","Day : 46 - 47","Day : 47 - 48"
Revenue,"97,902","711,096","79,848"
"Retail View","63,738","63,412","39,494"
"Wholesales (B2B)",0,"581,700",0
"Sales E Commerce","34,164","19,084","12,054"
Services,0,"46,900","28,300"
"Research and Development",0,0,0
COGS,"41,776","550,966","38,763"
"Trading Profit","56,126","160,130","41,085"
"Operating Expense View","81,177","61,186","60,202"
"Other Income (Loss)",0,0,0
"Net Profit","(25,051)","98,944","(19,117)"

,"Day : 48 - 49","Day : 49 - 50","Day : 50 - 51"
Revenue,"1,426,236","1,079,183","252,370"
"Retail View","38,256","38,794","38,912"
"Wholesales (B2B)","1,303,380","814,150","174,870"
"Sales E Commerce",0,"38,239","38,588"
Services,"84,600","188,000",0
"Research and Development",0,0,0
COGS,"969,151","667,771","172,355"
"Trading Profit","457,085","411,412","80,015"
"Operating Expense View","78,726","71,854","102,442"
"Other Income (Loss)",0,0,0
"Net Profit","378,359","339,558","(22,427)"

,"Day : 51 - 52","Day : 52 - 53","Day : 53 - 54"
Revenue,"870,069","1,136,255","688,664"
"Retail View","41,455","39,438","41,400"
"Wholesales (B2B)","612,850","1,056,780","472,990"
"Sales E Commerce","46,464","40,037","31,374"
Services,"169,300",0,"142,900"
"Research and Development",0,0,0
COGS,"624,382","692,056","416,163"
"Trading Profit","245,687","444,199","272,501"
"Operating Expense View","57,702","57,693","87,890"
"Other Income (Loss)",0,0,0
"Net Profit","187,985","386,506","184,611"

,"Day : 54 - 55","Day : 55 - 56","Day : 56 - 57"
Revenue,"204,934","118,936","1,105,815"
"Retail View","93,070","112,072","93,009"
"Wholesales (B2B)",0,0,"904,130"
"Sales E Commerce","27,664","6,864","33,876"
Services,"84,200",0,"74,800"
"Research and Development",0,0,0
COGS,"53,636","85,169","599,050"
"Trading Profit","151,298","33,767","506,765"
"Operating Expense View","73,142","73,196","72,952"
"Other Income (Loss)",0,0,0
"Net Profit","78,156","(39,429)","433,813"

,"Day : 57 - 58","Day : 58 - 59","Day : 59 - 60"
Revenue,"570,772","126,245","298,102"
"Retail View","115,769","42,787","41,279"
"Wholesales (B2B)","326,880",0,"235,040"
"Sales E Commerce","49,923","61,058","21,783"
Services,"78,200","22,400",0
"Research and Development",0,0,0
COGS,"273,269","97,484","181,505"
"Trading Profit","297,503","28,761","116,597"
"Operating Expense View","57,938","57,822","65,777"
"Other Income (Loss)",0,0,0
"Net Profit","239,565","(29,061)","50,820"

,"Day : 60 - 61","Day : 61 - 62","Day : 62 - 63"
Revenue,"57,457","47,840","274,573"
"Retail View","34,438","42,074","45,773"
"Wholesales (B2B)",0,0,0
"Sales E Commerce","23,019","5,766",0
Services,0,0,"228,800"
"Research and Development",0,0,0
COGS,"53,441","47,747","38,650"
"Trading Profit","4,016",93,"235,923"
"Operating Expense View","78,627","78,811","77,320"
"Other Income (Loss)",0,0,0
"Net Profit","(74,611)","(78,718)","158,603"

,"Day : 63 - 64","Day : 64 - 65","Day : 65 - 66"
Revenue,"375,434","522,393","126,067"
"Retail View","41,363","69,393","70,824"
"Wholesales (B2B)","226,172","453,000",0
"Sales E Commerce","8,199",0,"4,943"
Services,"99,700",0,"50,300"
"Research and Development",0,0,0
COGS,"260,281","307,346","66,319"
"Trading Profit","115,153","215,047","59,748"
"Operating Expense View","105,226","55,888","52,635"
"Other Income (Loss)",0,0,0
"Net Profit","9,927","159,159","7,113"

,"Day : 66 - 67","Day : 67 - 68","Day : 68 - 69"
Revenue,"225,876","317,414","260,871"
"Retail View","69,939","69,402","69,007"
"Wholesales (B2B)","139,262","56,100",0
"Sales E Commerce","16,675","15,012","17,264"
Services,0,"176,900","174,600"
"Research and Development",0,0,0
COGS,"164,311","86,694","29,256"
"Trading Profit","61,565","230,720","231,615"
"Operating Expense View","52,553","52,701","86,592"
"Other Income (Loss)",0,0,0
"Net Profit","9,012","178,019","145,023"

,"Day : 69 - 70","Day : 70 - 71","Day : 71 - 72"
Revenue,"165,511","161,137","81,471"
"Retail View","68,818","68,824","69,559"
"Wholesales (B2B)","70,956","69,498",0
"Sales E Commerce","8,037","22,815","11,912"
Services,"17,700",0,0
"Research and Development",0,0,0
COGS,"55,827","80,211","25,606"
"Trading Profit","109,684","80,926","55,865"
"Operating Expense View","82,621","72,877","58,536"
"Other Income (Loss)",0,0,0
"Net Profit","27,063","8,049","(2,671)"

,"Day : 72 - 73","Day : 73 - 74","Day : 74 - 75"
Revenue,"183,332","127,718","1,073,967"
"Retail View","69,594","67,297","66,828"
"Wholesales (B2B)",0,0,"948,840"
"Sales E Commerce","14,838","19,921","58,299"
Services,"98,900","40,500",0
"Research and Development",0,0,0
COGS,"39,415","26,346","902,092"
"Trading Profit","143,917","101,372","171,875"
"Operating Expense View","54,233","54,278","79,495"
"Other Income (Loss)",0,0,0
"Net Profit","89,684","47,094","92,380"

,"Day : 75 - 76","Day : 76 - 77","Day : 77 - 78"
Revenue,"428,681","107,056","464,840"
"Retail View","68,065","69,110","271,879"
"Wholesales (B2B)","278,460",0,0
"Sales E Commerce","49,556","37,946","21,861"
Services,"32,600",0,"171,100"
"Research and Development",0,0,0
COGS,"264,163","30,940","86,686"
"Trading Profit","164,518","76,116","378,154"
"Operating Expense View","53,897","69,338","74,703"
"Other Income (Loss)",0,0,0
"Net Profit","110,621","6,778","303,451"

,"Day : 78 - 79","Day : 79 - 80","Day : 80 - 81"
Revenue,"1,725,948","525,797","295,693"
"Retail View","275,988","259,510","265,104"
"Wholesales (B2B)","1,365,760","222,200",0
"Sales E Commerce",0,"44,087","30,589"
Services,"84,200",0,0
"Research and Development",0,0,0
COGS,"1,498,981","275,681","94,653"
"Trading Profit","226,967","250,116","201,040"
"Operating Expense View","81,740","53,985","55,112"
"Other Income (Loss)",0,0,0
"Net Profit","145,227","196,131","145,928"

,"Day : 81 - 82","Day : 82 - 83","Day : 83 - 84"
Revenue,"425,846","74,032","1,468,405"
"Retail View","263,249","65,219","65,372"
"Wholesales (B2B)",0,0,"1,311,340"
"Sales E Commerce","34,297","8,813","33,993"
Services,"128,300",0,"57,700"
"Research and Development",0,0,0
COGS,"102,272","41,726","1,044,175"
"Trading Profit","323,574","32,306","424,230"
"Operating Expense View","55,265","64,137","71,148"
"Other Income (Loss)",0,0,0
"Net Profit","268,309","(31,831)","353,082"

,"Day : 84 - 85","Day : 85 - 86","Day : 86 - 87"
Revenue,"126,034","130,820","763,451"
"Retail View","65,703","63,108","64,729"
"Wholesales (B2B)",0,0,"598,600"
"Sales E Commerce","19,231","67,712","35,922"
Services,"41,100",0,"64,200"
"Research and Development",0,0,0
COGS,"34,714","76,128","507,128"
"Trading Profit","91,320","54,692","256,323"
"Operating Expense View","98,114","75,026","61,967"
"Other Income (Loss)",0,0,0
"Net Profit","(6,794)","(20,334)","194,356"

,"Day : 87 - 88","Day : 88 - 89","Day : 89 - 90"
Revenue,"950,948","1,201,180","1,044,918"
"Retail View","60,998","57,000","58,796"
"Wholesales (B2B)","889,950","1,060,380","906,300"
"Sales E Commerce",0,0,"38,622"
Services,0,"83,800","41,200"
"Research and Development",0,0,0
COGS,"771,870","950,926","727,042"
"Trading Profit","179,078","250,254","317,876"
"Operating Expense View","111,146","75,578","75,466"
"Other Income (Loss)",0,0,0
"Net Profit","67,932","174,676","242,410"
